"Ref_Occ","Spouse_Occ","pct_couples","ref_person"
"Chief executives and legislators","Chief executives and legislators",0.0815808556925308,"Husband"
"Chief executives and legislators","Elementary and middle school teachers",0.0812182741116751,"Husband"
"Chief executives and legislators","Secretaries and administrative assistants",0.07070340826686,"Husband"
"Chief executives and legislators","Miscellaneous managers",0.0493110949963742,"Husband"
"Chief executives and legislators","Registered nurses",0.0387962291515591,"Husband"
"Chief executives and legislators","Accountants and auditors",0.0351704133430022,"Husband"
"Chief executives and legislators","Bookkeeping, accounting, and auditing clerks",0.0268310369833212,"Husband"
"Chief executives and legislators","Office and administrative support supervisors",0.0210297316896302,"Husband"
"Chief executives and legislators","Financial managers",0.0199419869470631,"Husband"
"Chief executives and legislators","Education administrators",0.0170413343002176,"Husband"
"General and operations managers","Elementary and middle school teachers",0.0785484611851171,"Husband"
"General and operations managers","Secretaries and administrative assistants",0.0583371612310519,"Husband"
"General and operations managers","Registered nurses",0.0509875976113918,"Husband"
"General and operations managers","Miscellaneous managers",0.0349104271933854,"Husband"
"General and operations managers","Bookkeeping, accounting, and auditing clerks",0.0266421681212678,"Husband"
"General and operations managers","Accountants and auditors",0.0252641249425815,"Husband"
"General and operations managers","Marketing and sales managers",0.0211299954065227,"Husband"
"General and operations managers","General and operations managers",0.0197519522278365,"Husband"
"General and operations managers","Customer service representatives",0.0197519522278365,"Husband"
"General and operations managers","Office and administrative support supervisors",0.0174552135966927,"Husband"
"Marketing and sales managers","Elementary and middle school teachers",0.0914826498422713,"Husband"
"Marketing and sales managers","Registered nurses",0.0460567823343849,"Husband"
"Marketing and sales managers","Secretaries and administrative assistants",0.0435331230283912,"Husband"
"Marketing and sales managers","Miscellaneous managers",0.0429022082018927,"Husband"
"Marketing and sales managers","Marketing and sales managers",0.0378548895899054,"Husband"
"Marketing and sales managers","Retail sales supervisors",0.0214511041009464,"Husband"
"Marketing and sales managers","Wholesale sales representatives",0.0201892744479495,"Husband"
"Marketing and sales managers","Accountants and auditors",0.0195583596214511,"Husband"
"Marketing and sales managers","Human resources workers",0.0189274447949527,"Husband"
"Marketing and sales managers","Financial managers",0.0182965299684543,"Husband"
"Administrative services managers","Elementary and middle school teachers",0.073972602739726,"Husband"
"Administrative services managers","Secretaries and administrative assistants",0.0684931506849315,"Husband"
"Administrative services managers","Registered nurses",0.0465753424657534,"Husband"
"Administrative services managers","Customer service representatives",0.0438356164383562,"Husband"
"Computer and information systems managers","Elementary and middle school teachers",0.0729559748427673,"Husband"
"Computer and information systems managers","Miscellaneous managers",0.0647798742138365,"Husband"
"Computer and information systems managers","Registered nurses",0.0433962264150943,"Husband"
"Computer and information systems managers","Secretaries and administrative assistants",0.0421383647798742,"Husband"
"Computer and information systems managers","Accountants and auditors",0.0358490566037736,"Husband"
"Computer and information systems managers","Computer and information systems managers",0.0352201257861635,"Husband"
"Computer and information systems managers","Software developers",0.0276729559748428,"Husband"
"Computer and information systems managers","Postsecondary teachers",0.0182389937106918,"Husband"
"Computer and information systems managers","Financial managers",0.0157232704402516,"Husband"
"Computer and information systems managers","Secondary school teachers",0.0157232704402516,"Husband"
"Financial managers","Elementary and middle school teachers",0.100164203612479,"Husband"
"Financial managers","Financial managers",0.0580186097427477,"Husband"
"Financial managers","Registered nurses",0.0541871921182266,"Husband"
"Financial managers","Accountants and auditors",0.0426929392446634,"Husband"
"Financial managers","Secretaries and administrative assistants",0.0399562123700055,"Husband"
"Financial managers","Miscellaneous managers",0.0350301039956212,"Husband"
"Financial managers","Human resources workers",0.0207991242474001,"Husband"
"Financial managers","Retail sales supervisors",0.0180623973727422,"Husband"
"Financial managers","Office and administrative support supervisors",0.0175150519978106,"Husband"
"Financial managers","Education administrators",0.0158730158730159,"Husband"
"Human resources managers","Elementary and middle school teachers",0.104347826086957,"Husband"
"Human resources managers","Secretaries and administrative assistants",0.0591304347826087,"Husband"
"Human resources managers","Registered nurses",0.048695652173913,"Husband"
"Human resources managers","Miscellaneous managers",0.04,"Husband"
"Human resources managers","Retail sales supervisors",0.031304347826087,"Husband"
"Human resources managers","Accountants and auditors",0.031304347826087,"Husband"
"Human resources managers","Human resources managers",0.0278260869565217,"Husband"
"Human resources managers","Medical and health services managers",0.0191304347826087,"Husband"
"Human resources managers","Licensed practical and licensed vocational nurses",0.0191304347826087,"Husband"
"Industrial production managers","Secretaries and administrative assistants",0.0743691899070385,"Husband"
"Industrial production managers","Elementary and middle school teachers",0.0584329349269588,"Husband"
"Industrial production managers","Registered nurses",0.0451527224435591,"Husband"
"Industrial production managers","Miscellaneous managers",0.0358565737051793,"Husband"
"Industrial production managers","Accountants and auditors",0.0358565737051793,"Husband"
"Industrial production managers","Bookkeeping, accounting, and auditing clerks",0.0252324037184595,"Husband"
"Industrial production managers","Financial managers",0.0199203187250996,"Husband"
"Industrial production managers","Customer service representatives",0.0199203187250996,"Husband"
"Industrial production managers","Social workers",0.0185922974767596,"Husband"
"Industrial production managers","Retail sales supervisors",0.0172642762284197,"Husband"
"Purchasing managers","Elementary and middle school teachers",0.117924528301887,"Husband"
"Purchasing managers","Secretaries and administrative assistants",0.0589622641509434,"Husband"
"Purchasing managers","Financial managers",0.0377358490566038,"Husband"
"Purchasing managers","Registered nurses",0.0330188679245283,"Husband"
"Purchasing managers","Miscellaneous managers",0.0306603773584906,"Husband"
"Transportation, storage, and distribution managers","Secretaries and administrative assistants",0.0695266272189349,"Husband"
"Transportation, storage, and distribution managers","Elementary and middle school teachers",0.0606508875739645,"Husband"
"Transportation, storage, and distribution managers","Miscellaneous managers",0.0428994082840237,"Husband"
"Transportation, storage, and distribution managers","Registered nurses",0.0428994082840237,"Husband"
"Transportation, storage, and distribution managers","Bookkeeping, accounting, and auditing clerks",0.0251479289940828,"Husband"
"Transportation, storage, and distribution managers","Customer service representatives",0.0251479289940828,"Husband"
"Transportation, storage, and distribution managers","Retail sales supervisors",0.0236686390532544,"Husband"
"Transportation, storage, and distribution managers","Accountants and auditors",0.0236686390532544,"Husband"
"Transportation, storage, and distribution managers","Non-retail sales supervisors",0.0207100591715976,"Husband"
"Transportation, storage, and distribution managers","General office clerks",0.0192307692307692,"Husband"
"Farmers, ranchers, and other agricultural managers","Elementary and middle school teachers",0.101970443349754,"Husband"
"Farmers, ranchers, and other agricultural managers","Secretaries and administrative assistants",0.0901477832512315,"Husband"
"Farmers, ranchers, and other agricultural managers","Farmers, ranchers, and other agricultural managers",0.0857142857142857,"Husband"
"Farmers, ranchers, and other agricultural managers","Registered nurses",0.0650246305418719,"Husband"
"Farmers, ranchers, and other agricultural managers","Bookkeeping, accounting, and auditing clerks",0.0320197044334975,"Husband"
"Farmers, ranchers, and other agricultural managers","Accountants and auditors",0.0246305418719212,"Husband"
"Farmers, ranchers, and other agricultural managers","Miscellaneous managers",0.0197044334975369,"Husband"
"Farmers, ranchers, and other agricultural managers","Miscellaneous agricultural workers",0.0157635467980296,"Husband"
"Farmers, ranchers, and other agricultural managers","Teacher assistants",0.0152709359605911,"Husband"
"Farmers, ranchers, and other agricultural managers","Financial managers",0.0133004926108374,"Husband"
"Construction managers","Secretaries and administrative assistants",0.0802401746724891,"Husband"
"Construction managers","Elementary and middle school teachers",0.0764192139737991,"Husband"
"Construction managers","Registered nurses",0.0529475982532751,"Husband"
"Construction managers","Miscellaneous managers",0.037117903930131,"Husband"
"Construction managers","Accountants and auditors",0.0300218340611354,"Husband"
"Construction managers","Bookkeeping, accounting, and auditing clerks",0.0191048034934498,"Husband"
"Construction managers","Financial managers",0.0185589519650655,"Husband"
"Construction managers","Office and administrative support supervisors",0.0180131004366812,"Husband"
"Construction managers","Retail sales supervisors",0.0174672489082969,"Husband"
"Construction managers","General office clerks",0.0174672489082969,"Husband"
"Education administrators","Elementary and middle school teachers",0.211721611721612,"Husband"
"Education administrators","Education administrators",0.0813186813186813,"Husband"
"Education administrators","Secretaries and administrative assistants",0.0468864468864469,"Husband"
"Education administrators","Registered nurses",0.0446886446886447,"Husband"
"Education administrators","Secondary school teachers",0.0351648351648352,"Husband"
"Education administrators","Postsecondary teachers",0.0315018315018315,"Husband"
"Education administrators","Miscellaneous managers",0.0263736263736264,"Husband"
"Education administrators","Counselors",0.0249084249084249,"Husband"
"Education administrators","Teacher assistants",0.0175824175824176,"Husband"
"Education administrators","Office and administrative support supervisors",0.0131868131868132,"Husband"
"Architectural and engineering managers","Elementary and middle school teachers",0.104761904761905,"Husband"
"Architectural and engineering managers","Miscellaneous managers",0.0495238095238095,"Husband"
"Architectural and engineering managers","Registered nurses",0.0438095238095238,"Husband"
"Architectural and engineering managers","Secretaries and administrative assistants",0.0438095238095238,"Husband"
"Architectural and engineering managers","Accountants and auditors",0.0247619047619048,"Husband"
"Food service managers","Food service managers",0.179634966378482,"Husband"
"Food service managers","Elementary and middle school teachers",0.0739673390970221,"Husband"
"Food service managers","Registered nurses",0.037463976945245,"Husband"
"Food service managers","Secretaries and administrative assistants",0.0365033621517771,"Husband"
"Food service managers","Cashiers",0.0307396733909702,"Husband"
"Food service managers","Bookkeeping, accounting, and auditing clerks",0.0230547550432277,"Husband"
"Food service managers","Miscellaneous managers",0.021133525456292,"Husband"
"Food service managers","Retail sales supervisors",0.0201729106628242,"Husband"
"Food service managers","Waiters and waitresses",0.0192122958693564,"Husband"
"Food service managers","Accountants and auditors",0.0172910662824208,"Husband"
"Lodging managers","Lodging managers",0.127272727272727,"Husband"
"Medical and health services managers","Registered nurses",0.100740740740741,"Husband"
"Medical and health services managers","Elementary and middle school teachers",0.0637037037037037,"Husband"
"Medical and health services managers","Medical and health services managers",0.0622222222222222,"Husband"
"Medical and health services managers","Secretaries and administrative assistants",0.0459259259259259,"Husband"
"Medical and health services managers","Physicians and surgeons",0.0296296296296296,"Husband"
"Medical and health services managers","Miscellaneous managers",0.0237037037037037,"Husband"
"Medical and health services managers","Postsecondary teachers",0.0207407407407407,"Husband"
"Medical and health services managers","Office and administrative support supervisors",0.0207407407407407,"Husband"
"Medical and health services managers","Human resources workers",0.0162962962962963,"Husband"
"Medical and health services managers","Social workers",0.0162962962962963,"Husband"
"Property, real estate, and community association managers","Elementary and middle school teachers",0.0869565217391304,"Husband"
"Property, real estate, and community association managers","Property, real estate, and community association managers",0.0739130434782609,"Husband"
"Property, real estate, and community association managers","Secretaries and administrative assistants",0.0594202898550725,"Husband"
"Property, real estate, and community association managers","Registered nurses",0.0478260869565217,"Husband"
"Property, real estate, and community association managers","Miscellaneous managers",0.036231884057971,"Husband"
"Property, real estate, and community association managers","Accountants and auditors",0.0304347826086957,"Husband"
"Property, real estate, and community association managers","Real estate agents",0.0231884057971014,"Husband"
"Property, real estate, and community association managers","Human resources workers",0.0202898550724638,"Husband"
"Property, real estate, and community association managers","Lawyers and judges",0.0188405797101449,"Husband"
"Property, real estate, and community association managers","Retail salespersons",0.0188405797101449,"Husband"
"Social and community service managers","Elementary and middle school teachers",0.0835443037974684,"Husband"
"Social and community service managers","Social and community service managers",0.0607594936708861,"Husband"
"Social and community service managers","Miscellaneous managers",0.0481012658227848,"Husband"
"Social and community service managers","Registered nurses",0.0379746835443038,"Husband"
"Social and community service managers","Social workers",0.0354430379746835,"Husband"
"Social and community service managers","Education administrators",0.030379746835443,"Husband"
"Social and community service managers","Retail sales supervisors",0.030379746835443,"Husband"
"Miscellaneous managers","Elementary and middle school teachers",0.0824897695455524,"Husband"
"Miscellaneous managers","Miscellaneous managers",0.0749515399526168,"Husband"
"Miscellaneous managers","Secretaries and administrative assistants",0.0573982339004954,"Husband"
"Miscellaneous managers","Registered nurses",0.0440447986215809,"Husband"
"Miscellaneous managers","Accountants and auditors",0.0248761576566875,"Husband"
"Miscellaneous managers","Financial managers",0.0198147749300022,"Husband"
"Miscellaneous managers","Retail sales supervisors",0.018845573982339,"Husband"
"Miscellaneous managers","Office and administrative support supervisors",0.0181994400172302,"Husband"
"Miscellaneous managers","Bookkeeping, accounting, and auditing clerks",0.0179840620288607,"Husband"
"Miscellaneous managers","Customer service representatives",0.0173379280637519,"Husband"
"Wholesale and retail buyers","Secretaries and administrative assistants",0.0803571428571429,"Husband"
"Wholesale and retail buyers","Elementary and middle school teachers",0.0669642857142857,"Husband"
"Wholesale and retail buyers","Registered nurses",0.0535714285714286,"Husband"
"Purchasing agents","Secretaries and administrative assistants",0.0767754318618042,"Husband"
"Purchasing agents","Elementary and middle school teachers",0.0652591170825336,"Husband"
"Purchasing agents","Miscellaneous managers",0.053742802303263,"Husband"
"Purchasing agents","Registered nurses",0.0479846449136276,"Husband"
"Purchasing agents","Accountants and auditors",0.0345489443378119,"Husband"
"Purchasing agents","Retail sales supervisors",0.0249520153550864,"Husband"
"Claims adjusters","Elementary and middle school teachers",0.105032822757112,"Husband"
"Claims adjusters","Claims adjusters",0.0590809628008753,"Husband"
"Claims adjusters","Secretaries and administrative assistants",0.0590809628008753,"Husband"
"Claims adjusters","Miscellaneous managers",0.0437636761487965,"Husband"
"Claims adjusters","Registered nurses",0.0350109409190372,"Husband"
"Claims adjusters","Financial managers",0.0262582056892779,"Husband"
"Claims adjusters","Accountants and auditors",0.0262582056892779,"Husband"
"Compliance officers","Elementary and middle school teachers",0.103359173126615,"Husband"
"Compliance officers","Secretaries and administrative assistants",0.0749354005167959,"Husband"
"Compliance officers","Registered nurses",0.0568475452196382,"Husband"
"Compliance officers","Accountants and auditors",0.0284237726098191,"Husband"
"Cost estimators","Secretaries and administrative assistants",0.0931989924433249,"Husband"
"Cost estimators","Elementary and middle school teachers",0.0755667506297229,"Husband"
"Cost estimators","Bookkeeping, accounting, and auditing clerks",0.0403022670025189,"Husband"
"Cost estimators","Customer service representatives",0.0302267002518892,"Husband"
"Cost estimators","Registered nurses",0.0302267002518892,"Husband"
"Human resources workers","Elementary and middle school teachers",0.0860058309037901,"Husband"
"Human resources workers","Miscellaneous managers",0.0466472303206997,"Husband"
"Human resources workers","Human resources workers",0.0451895043731778,"Husband"
"Human resources workers","Registered nurses",0.0393586005830904,"Husband"
"Human resources workers","Secretaries and administrative assistants",0.0364431486880466,"Husband"
"Human resources workers","Accountants and auditors",0.0335276967930029,"Husband"
"Human resources workers","Education administrators",0.0276967930029155,"Husband"
"Human resources workers","Office and administrative support supervisors",0.0233236151603499,"Husband"
"Human resources workers","Retail sales supervisors",0.0174927113702624,"Husband"
"Human resources workers","Human resources managers",0.0160349854227405,"Husband"
"Training and development specialists","Elementary and middle school teachers",0.0853080568720379,"Husband"
"Training and development specialists","Registered nurses",0.0710900473933649,"Husband"
"Logisticians","Elementary and middle school teachers",0.0550847457627119,"Husband"
"Logisticians","Secretaries and administrative assistants",0.0508474576271186,"Husband"
"Management analysts","Elementary and middle school teachers",0.0720058780308597,"Husband"
"Management analysts","Miscellaneous managers",0.0521675238795004,"Husband"
"Management analysts","Secretaries and administrative assistants",0.0492285084496694,"Husband"
"Management analysts","Management analysts",0.0455547391623806,"Husband"
"Management analysts","Registered nurses",0.0330639235855988,"Husband"
"Management analysts","Accountants and auditors",0.0293901542983101,"Husband"
"Management analysts","Financial managers",0.0249816311535636,"Husband"
"Management analysts","Postsecondary teachers",0.0235121234386481,"Husband"
"Management analysts","Lawyers and judges",0.0220426157237326,"Husband"
"Management analysts","Human resources workers",0.0191036002939015,"Husband"
"Market analysts","Elementary and middle school teachers",0.0686813186813187,"Husband"
"Market analysts","Miscellaneous managers",0.0494505494505494,"Husband"
"Market analysts","Registered nurses",0.0412087912087912,"Husband"
"Market analysts","Market analysts",0.0384615384615385,"Husband"
"Market analysts","Secretaries and administrative assistants",0.0357142857142857,"Husband"
"Other business operations specialists","Elementary and middle school teachers",0.0727762803234501,"Husband"
"Other business operations specialists","Registered nurses",0.0646900269541779,"Husband"
"Other business operations specialists","Secretaries and administrative assistants",0.0539083557951483,"Husband"
"Accountants and auditors","Elementary and middle school teachers",0.124016658954188,"Husband"
"Accountants and auditors","Accountants and auditors",0.0906987505784359,"Husband"
"Accountants and auditors","Registered nurses",0.0578435909301249,"Husband"
"Accountants and auditors","Secretaries and administrative assistants",0.044423877834336,"Husband"
"Accountants and auditors","Miscellaneous managers",0.026376677464137,"Husband"
"Accountants and auditors","Office and administrative support supervisors",0.020823692734845,"Husband"
"Accountants and auditors","Financial managers",0.018047200370199,"Husband"
"Accountants and auditors","Bookkeeping, accounting, and auditing clerks",0.018047200370199,"Husband"
"Accountants and auditors","Human resources workers",0.014807959278112,"Husband"
"Accountants and auditors","Customer service representatives",0.014807959278112,"Husband"
"Appraisers and assessors of real estate","Elementary and middle school teachers",0.0758928571428571,"Husband"
"Appraisers and assessors of real estate","Registered nurses",0.0758928571428571,"Husband"
"Appraisers and assessors of real estate","Secretaries and administrative assistants",0.0535714285714286,"Husband"
"Financial analysts","Elementary and middle school teachers",0.072463768115942,"Husband"
"Financial analysts","Miscellaneous managers",0.0492753623188406,"Husband"
"Financial analysts","Registered nurses",0.0463768115942029,"Husband"
"Financial analysts","Accountants and auditors",0.0434782608695652,"Husband"
"Financial analysts","Secretaries and administrative assistants",0.0434782608695652,"Husband"
"Financial analysts","Financial managers",0.0318840579710145,"Husband"
