"OCCP_H","pct_couples","Husband_Occ_Rank","Husband_Occ","OCCP_W","Wife_Occ"
20,0.0246171408525508,4,"General and operations managers",0,"Base_Rate"
1020,0.0148153517128836,11,"Software developers",0,"Base_Rate"
4700,0.0105969575346767,19,"Retail sales supervisors",0,"Base_Rate"
4720,0.0152613958512764,10,"Cashiers",0,"Base_Rate"
4760,0.0369939956185053,2,"Retail salespersons",0,"Base_Rate"
5240,0.0143605755252595,13,"Customer service representatives",0,"Base_Rate"
5620,0.0196810549672276,8,"Stock clerks and order fillers",0,"Base_Rate"
7200,0.00996218875273067,20,"Automotive service technicians and mechanics",0,"Base_Rate"
7340,0.020169687698394,6,"General maintenance and repair workers",0,"Base_Rate"
9130,0.043959900952662,1,"Truck drivers",0,"Base_Rate"
9620,0.0324911534704174,3,"Laborers and hand movers",0,"Base_Rate"
4700,0.0209464701318852,19,"Retail sales supervisors",10,"Chief executives and legislators"
1020,0.0147401086113266,11,"Software developers",10,"Chief executives and legislators"
20,0.0162916989914663,4,"General and operations managers",10,"Chief executives and legislators"
9130,0.0224980605120248,1,"Truck drivers",10,"Chief executives and legislators"
4760,0.0116369278510473,2,"Retail salespersons",10,"Chief executives and legislators"
4700,0.0440386680988185,19,"Retail sales supervisors",20,"General and operations managers"
20,0.046186895810956,4,"General and operations managers",20,"General and operations managers"
7340,0.0128893662728249,6,"General maintenance and repair workers",20,"General and operations managers"
9130,0.0290010741138561,1,"Truck drivers",20,"General and operations managers"
9620,0.0128893662728249,3,"Laborers and hand movers",20,"General and operations managers"
4760,0.0139634801288937,2,"Retail salespersons",20,"General and operations managers"
4700,0.0244215938303342,19,"Retail sales supervisors",50,"Marketing and sales managers"
1020,0.0224935732647815,11,"Software developers",50,"Marketing and sales managers"
20,0.0295629820051414,4,"General and operations managers",50,"Marketing and sales managers"
5240,0.0102827763496144,13,"Customer service representatives",50,"Marketing and sales managers"
9130,0.0205655526992288,1,"Truck drivers",50,"Marketing and sales managers"
4760,0.0122107969151671,2,"Retail salespersons",50,"Marketing and sales managers"
9620,0.0070694087403599,3,"Laborers and hand movers",50,"Marketing and sales managers"
1020,0.0426098535286285,11,"Software developers",110,"Computer and information systems managers"
4700,0.018641810918775,19,"Retail sales supervisors",110,"Computer and information systems managers"
20,0.0173102529960053,4,"General and operations managers",110,"Computer and information systems managers"
9130,0.0213049267643142,1,"Truck drivers",110,"Computer and information systems managers"
4700,0.0240919199406968,19,"Retail sales supervisors",120,"Financial managers"
1020,0.0129725722757598,11,"Software developers",120,"Financial managers"
5240,0.0114899925871016,13,"Customer service representatives",120,"Financial managers"
7200,0.00704225352112676,20,"Automotive service technicians and mechanics",120,"Financial managers"
9130,0.0363232023721275,1,"Truck drivers",120,"Financial managers"
20,0.0129725722757598,4,"General and operations managers",120,"Financial managers"
7340,0.00815418828762046,6,"General maintenance and repair workers",120,"Financial managers"
5620,0.00481838398813936,8,"Stock clerks and order fillers",120,"Financial managers"
4760,0.0166790214974055,2,"Retail salespersons",120,"Financial managers"
9620,0.0114899925871016,3,"Laborers and hand movers",120,"Financial managers"
4700,0.0318949343339587,19,"Retail sales supervisors",136,"Human resources managers"
7200,0.0121951219512195,20,"Automotive service technicians and mechanics",136,"Human resources managers"
1020,0.0159474671669794,11,"Software developers",136,"Human resources managers"
5240,0.0112570356472795,13,"Customer service representatives",136,"Human resources managers"
20,0.0168855534709193,4,"General and operations managers",136,"Human resources managers"
9130,0.0300187617260788,1,"Truck drivers",136,"Human resources managers"
4760,0.0121951219512195,2,"Retail salespersons",136,"Human resources managers"
9130,0.0407124681933842,1,"Truck drivers",150,"Purchasing managers"
9130,0.0855263157894737,1,"Truck drivers",160,"Transportation, storage, and distribution managers"
4700,0.0203755493407911,19,"Retail sales supervisors",230,"Education administrators"
1020,0.0147822612864563,11,"Software developers",230,"Education administrators"
5240,0.00759089093088294,13,"Customer service representatives",230,"Education administrators"
20,0.0135836995605274,4,"General and operations managers",230,"Education administrators"
7340,0.0055932880543348,6,"General maintenance and repair workers",230,"Education administrators"
9130,0.0227726727926488,1,"Truck drivers",230,"Education administrators"
4760,0.00998801438274071,2,"Retail salespersons",230,"Education administrators"
9130,0.0502369668246445,1,"Truck drivers",310,"Food service managers"
4700,0.014218009478673,19,"Retail sales supervisors",310,"Food service managers"
20,0.0218009478672986,4,"General and operations managers",310,"Food service managers"
4760,0.0199052132701422,2,"Retail salespersons",310,"Food service managers"
9620,0.014218009478673,3,"Laborers and hand movers",310,"Food service managers"
4700,0.0187057633973711,19,"Retail sales supervisors",350,"Medical and health services managers"
1020,0.0151668351870576,11,"Software developers",350,"Medical and health services managers"
7200,0.00758341759352882,20,"Automotive service technicians and mechanics",350,"Medical and health services managers"
5240,0.00556117290192113,13,"Customer service representatives",350,"Medical and health services managers"
9130,0.0328614762386249,1,"Truck drivers",350,"Medical and health services managers"
7340,0.00808897876643074,6,"General maintenance and repair workers",350,"Medical and health services managers"
20,0.0116279069767442,4,"General and operations managers",350,"Medical and health services managers"
4760,0.0161779575328615,2,"Retail salespersons",350,"Medical and health services managers"
9620,0.00657229524772497,3,"Laborers and hand movers",350,"Medical and health services managers"
4700,0.0210656753407683,19,"Retail sales supervisors",410,"Property, real estate, and community association managers"
1020,0.0198265179677819,11,"Software developers",410,"Property, real estate, and community association managers"
9130,0.0433705080545229,1,"Truck drivers",410,"Property, real estate, and community association managers"
7340,0.0148698884758364,6,"General maintenance and repair workers",410,"Property, real estate, and community association managers"
20,0.0136307311028501,4,"General and operations managers",410,"Property, real estate, and community association managers"
4760,0.0161090458488228,2,"Retail salespersons",410,"Property, real estate, and community association managers"
4700,0.0149253731343284,19,"Retail sales supervisors",420,"Social and community service managers"
20,0.0137772675086108,4,"General and operations managers",420,"Social and community service managers"
9130,0.0309988518943743,1,"Truck drivers",420,"Social and community service managers"
4760,0.0195177956371986,2,"Retail salespersons",420,"Social and community service managers"
4700,0.0194519621109608,19,"Retail sales supervisors",430,"Miscellaneous managers"
1020,0.0164073071718539,11,"Software developers",430,"Miscellaneous managers"
7200,0.00828822733423545,20,"Automotive service technicians and mechanics",430,"Miscellaneous managers"
5240,0.0091339648173207,13,"Customer service representatives",430,"Miscellaneous managers"
20,0.0128552097428958,4,"General and operations managers",430,"Miscellaneous managers"
4720,0.00186062246278755,10,"Cashiers",430,"Miscellaneous managers"
7340,0.0060893098782138,6,"General maintenance and repair workers",430,"Miscellaneous managers"
5620,0.00355209742895805,8,"Stock clerks and order fillers",430,"Miscellaneous managers"
9130,0.0245263870094723,1,"Truck drivers",430,"Miscellaneous managers"
9620,0.0081190798376184,3,"Laborers and hand movers",430,"Miscellaneous managers"
4760,0.0118403247631935,2,"Retail salespersons",430,"Miscellaneous managers"
4700,0.0727272727272727,19,"Retail sales supervisors",520,"Wholesale and retail buyers"
9130,0.0509090909090909,1,"Truck drivers",520,"Wholesale and retail buyers"
4760,0.04,2,"Retail salespersons",520,"Wholesale and retail buyers"
4700,0.0210016155088853,19,"Retail sales supervisors",530,"Purchasing agents"
9130,0.0452342487883683,1,"Truck drivers",530,"Purchasing agents"
4700,0.0256,19,"Retail sales supervisors",540,"Claims adjusters"
9130,0.032,1,"Truck drivers",540,"Claims adjusters"
4760,0.0176,2,"Retail salespersons",540,"Claims adjusters"
9130,0.0381165919282511,1,"Truck drivers",565,"Compliance officers"
4700,0.0177985948477752,19,"Retail sales supervisors",630,"Human resources workers"
1020,0.0159250585480094,11,"Software developers",630,"Human resources workers"
5240,0.0135831381733021,13,"Customer service representatives",630,"Human resources workers"
7200,0.00889929742388759,20,"Automotive service technicians and mechanics",630,"Human resources workers"
20,0.0131147540983607,4,"General and operations managers",630,"Human resources workers"
7340,0.00796252927400468,6,"General maintenance and repair workers",630,"Human resources workers"
9130,0.0285714285714286,1,"Truck drivers",630,"Human resources workers"
4760,0.0140515222482436,2,"Retail salespersons",630,"Human resources workers"
9620,0.00608899297423888,3,"Laborers and hand movers",630,"Human resources workers"
1020,0.039344262295082,11,"Software developers",710,"Management analysts"
4700,0.0180327868852459,19,"Retail sales supervisors",710,"Management analysts"
4760,0.0147540983606557,2,"Retail salespersons",710,"Management analysts"
