"OCCP_W","pct_couples","Wife_Occ_Rank","Wife_Occ","OCCP_H","Husband_Occ"
800,0.0113624487251977,19,"Accountants and auditors",0,"Base_Rate"
2200,0.0110461850603908,20,"Postsecondary teachers",0,"Base_Rate"
2310,0.0253788634874884,10,"Elementary and middle school teachers",0,"Base_Rate"
3255,0.0380810326360358,3,"Registered nurses",0,"Base_Rate"
3600,0.0327762790958214,6,"Nursing, psychiatric, and home health aides",0,"Base_Rate"
4720,0.0393768585756063,2,"Cashiers",0,"Base_Rate"
4760,0.0353467239948646,5,"Retail salespersons",0,"Base_Rate"
5000,0.0150922090533428,14,"Office and administrative support supervisors",0,"Base_Rate"
5240,0.0262161493694411,9,"Customer service representatives",0,"Base_Rate"
5700,0.0539558910698879,1,"Secretaries and administrative assistants",0,"Base_Rate"
5860,0.0375910531699237,4,"General office clerks",0,"Base_Rate"
2310,0.0812182741116751,10,"Elementary and middle school teachers",10,"Chief executives and legislators"
800,0.0351704133430022,19,"Accountants and auditors",10,"Chief executives and legislators"
5700,0.07070340826686,1,"Secretaries and administrative assistants",10,"Chief executives and legislators"
5000,0.0210297316896302,14,"Office and administrative support supervisors",10,"Chief executives and legislators"
2200,0.0137781000725163,20,"Postsecondary teachers",10,"Chief executives and legislators"
3255,0.0387962291515591,3,"Registered nurses",10,"Chief executives and legislators"
5240,0.0116026105873822,9,"Customer service representatives",10,"Chief executives and legislators"
5860,0.0105148658448151,4,"General office clerks",10,"Chief executives and legislators"
4760,0.00797679477882524,5,"Retail salespersons",10,"Chief executives and legislators"
4720,0.00398839738941262,2,"Cashiers",10,"Chief executives and legislators"
2310,0.0785484611851171,10,"Elementary and middle school teachers",20,"General and operations managers"
800,0.0252641249425815,19,"Accountants and auditors",20,"General and operations managers"
3255,0.0509875976113918,3,"Registered nurses",20,"General and operations managers"
5700,0.0583371612310519,1,"Secretaries and administrative assistants",20,"General and operations managers"
5000,0.0174552135966927,14,"Office and administrative support supervisors",20,"General and operations managers"
2200,0.0119430408819476,20,"Postsecondary teachers",20,"General and operations managers"
5240,0.0197519522278365,9,"Customer service representatives",20,"General and operations managers"
3600,0.0101056499770326,6,"Nursing, psychiatric, and home health aides",20,"General and operations managers"
4760,0.0105649977032614,5,"Retail salespersons",20,"General and operations managers"
5860,0.00964630225080386,4,"General office clerks",20,"General and operations managers"
4720,0.00780891134588884,2,"Cashiers",20,"General and operations managers"
2310,0.0914826498422713,10,"Elementary and middle school teachers",50,"Marketing and sales managers"
800,0.0195583596214511,19,"Accountants and auditors",50,"Marketing and sales managers"
3255,0.0460567823343849,3,"Registered nurses",50,"Marketing and sales managers"
5000,0.0157728706624606,14,"Office and administrative support supervisors",50,"Marketing and sales managers"
2200,0.00883280757097792,20,"Postsecondary teachers",50,"Marketing and sales managers"
5240,0.016403785488959,9,"Customer service representatives",50,"Marketing and sales managers"
5700,0.0435331230283912,1,"Secretaries and administrative assistants",50,"Marketing and sales managers"
4760,0.0100946372239748,5,"Retail salespersons",50,"Marketing and sales managers"
