"OCCP_H","Husband_Occ","OCCP_W","Wife_Occ","Husband_Occ_Group","Wife_Occ_Group","rank","num_couples","pct_couples","H_occ_rank","W_occ_rank","top_women_job","top_men_job"
2310,"Elementary and middle school teachers",2310,"Elementary and middle school teachers","Education, Training, and Library Occupations","Education, Training, and Library Occupations",1,1219,0.00618091471453199,42,10,1,0
430,"Miscellaneous managers",2310,"Elementary and middle school teachers","Management Occupations","Education, Training, and Library Occupations",2,766,0.00388398742521042,69,10,1,0
430,"Miscellaneous managers",430,"Miscellaneous managers","Management Occupations","Management Occupations",3,696,0.00352905384849407,69,101,0,0
9130,"Truck drivers",5700,"Secretaries and administrative assistants","Transportation and Material Moving Occupations","Office and Administrative Support Occupations",4,558,0.00282932765439611,1,1,1,1
430,"Miscellaneous managers",5700,"Secretaries and administrative assistants","Management Occupations","Office and Administrative Support Occupations",5,533,0.00270256566271169,69,1,1,0
3060,"Physicians and surgeons",3060,"Physicians and surgeons","Healthcare Practitioners and Technical Occupations","Healthcare Practitioners and Technical Occupations",6,476,0.00241354832167123,40,60,0,0
4700,"Retail sales supervisors",4700,"Retail sales supervisors","Sales and Related Occupations","Sales and Related Occupations",7,475,0.00240847784200385,19,30,0,1
2100,"Layers and judges",2100,"Layers and judges","Legal Occupations","Legal Occupations",8,423,0.00214481289930027,34,64,0,0
430,"Miscellaneous managers",3255,"Registered nurses","Management Occupations","Healthcare Practitioners and Technical Occupations",9,409,0.002073826183957,69,3,1,0
2200,"Postsecondary teachers",2200,"Postsecondary teachers","Education, Training, and Library Occupations","Education, Training, and Library Occupations",10,401,0.00203326234661799,17,20,1,1
9130,"Truck drivers",3255,"Registered nurses","Transportation and Material Moving Occupations","Healthcare Practitioners and Technical Occupations",11,364,0.00184565459892506,1,3,1,1
3255,"Registered nurses",3255,"Registered nurses","Healthcare Practitioners and Technical Occupations","Healthcare Practitioners and Technical Occupations",12,343,0.00173917452591015,59,3,1,0
9130,"Truck drivers",2310,"Elementary and middle school teachers","Transportation and Material Moving Occupations","Education, Training, and Library Occupations",13,339,0.00171889260724064,1,10,1,1
4700,"Retail sales supervisors",2310,"Elementary and middle school teachers","Sales and Related Occupations","Education, Training, and Library Occupations",14,330,0.00167325829023426,19,10,1,1
1020,"Software developers",1020,"Software developers","Computer and mathematical occupations","Computer and mathematical occupations",15,308,0.00156170773755197,11,67,0,1
2320,"Secondary school teachers",2310,"Elementary and middle school teachers","Education, Training, and Library Occupations","Education, Training, and Library Occupations",16,293,0.00148565054254132,36,10,1,0
4850,"Wholesale sales representatives",2310,"Elementary and middle school teachers","Sales and Related Occupations","Education, Training, and Library Occupations",17,290,0.00147043910353919,7,10,1,1
230,"Education administrators",2310,"Elementary and middle school teachers","Management Occupations","Education, Training, and Library Occupations",18,289,0.00146536862387182,109,10,1,0
4700,"Retail sales supervisors",5700,"Secretaries and administrative assistants","Sales and Related Occupations","Office and Administrative Support Occupations",19,287,0.00145522766453707,19,1,1,1
3850,"Police officers",2310,"Elementary and middle school teachers","Protective Service Occupations","Education, Training, and Library Occupations",20,286,0.00145015718486969,25,10,1,0
