"OCCP_H","OCCP_W","Husband_Occ","Wife_Occ","Husband_Occ_Group","Wife_Occ_Group","same_occ","same_occ_group","occ_num_h","occ_num_w"
10,10,"Chief executives and legislators","Chief executives and legislators","Management","Management",1,1,1,1
110,110,"Computer and information systems managers","Computer and information systems managers","Management","Management",1,1,4,4
120,2310,"Financial managers","Elementary and middle school teachers","Management","Education, Training and Library",0,0,5,48
136,2310,"Human resources managers","Elementary and middle school teachers","Management","Education, Training and Library",0,0,6,48
150,2310,"Purchasing managers","Elementary and middle school teachers","Management","Education, Training and Library",0,0,7,48
205,205,"Farmers, ranchers, and other agricultural managers","Farmers, ranchers, and other agricultural managers","Management","Management",1,1,8,8
205,2310,"Farmers, ranchers, and other agricultural managers","Elementary and middle school teachers","Management","Education, Training and Library",0,0,8,48
205,6050,"Farmers, ranchers, and other agricultural managers","Miscellaneous agricultural workers","Management","Farming, Fishing, and Forestry",0,0,8,113
220,220,"Construction managers","Construction managers","Management","Management",1,1,9,9
230,230,"Education administrators","Education administrators","Management","Management",1,1,10,10
230,2310,"Education administrators","Elementary and middle school teachers","Management","Education, Training and Library",0,0,10,48
300,2310,"Architectural and engineering managers","Elementary and middle school teachers","Management","Education, Training and Library",0,0,11,48
310,310,"Food service managers","Food service managers","Management","Management",1,1,12,12
340,340,"Lodging managers","Lodging managers","Management","Management",1,1,13,13
430,10,"Miscellaneous managers","Chief executives and legislators","Management","Management",0,1,14,1
430,50,"Miscellaneous managers","Marketing and sales managers","Management","Management",0,1,14,2
430,60,"Miscellaneous managers","Public relations and fundraising managers","Management","Management",0,1,14,3
430,136,"Miscellaneous managers","Human resources managers","Management","Management",0,1,14,6
430,150,"Miscellaneous managers","Purchasing managers","Management","Management",0,1,14,7
430,220,"Miscellaneous managers","Construction managers","Management","Management",0,1,14,9
430,430,"Miscellaneous managers","Miscellaneous managers","Management","Management",1,1,14,14
430,565,"Miscellaneous managers","Compliance officers","Management","Business and Financial Operations",0,0,14,16
430,640,"Miscellaneous managers","Compensation and benefits specialists","Management","Business and Financial Operations",0,0,14,17
430,710,"Miscellaneous managers","Management analysts","Management","Business and Financial Operations",0,0,14,18
430,740,"Miscellaneous managers","Other business operations specialists","Management","Business and Financial Operations",0,0,14,19
430,850,"Miscellaneous managers","Personal financial advisors","Management","Business and Financial Operations",0,0,14,21
430,1020,"Miscellaneous managers","Software developers","Management","Computer and Mathematics",0,0,14,25
430,1060,"Miscellaneous managers","Database administrators","Management","Computer and Mathematics",0,0,14,27
430,1220,"Miscellaneous managers","Operations research analysts","Management","Computer and Mathematics",0,0,14,29
430,1360,"Miscellaneous managers","Civil engineers","Management","Architecture and Engineering",0,0,14,31
430,1430,"Miscellaneous managers","Industrian engineers","Management","Architecture and Engineering",0,0,14,33
430,1650,"Miscellaneous managers","Other life scientists","Management","Life, Physical, and Social Sciences",0,0,14,37
430,2710,"Miscellaneous managers","Producers and directors","Management","Arts, Design, Entertainment, Sports, and Media",0,0,14,53
430,2840,"Miscellaneous managers","Technical writers","Management","Arts, Design, Entertainment, Sports, and Media",0,0,14,58
430,2850,"Miscellaneous managers","Writers and authors","Management","Arts, Design, Entertainment, Sports, and Media",0,0,14,59
430,2910,"Miscellaneous managers","Photographers","Management","Arts, Design, Entertainment, Sports, and Media",0,0,14,60
430,4800,"Miscellaneous managers","Advertising sales agents","Management","Sales",0,0,14,101
430,4920,"Miscellaneous managers","Real estate agents","Management","Sales",0,0,14,104
430,5600,"Miscellaneous managers","Production, planning, and expediting clerks","Management","Office and Administrative Support",0,0,14,109
540,2310,"Claims adjusters","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,15,48
565,2310,"Compliance officers","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,16,48
800,800,"Accountants and auditors","Accountants and auditors","Business and Financial Operations","Business and Financial Operations",1,1,20,20
800,2310,"Accountants and auditors","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,20,48
850,2310,"Personal financial advisors","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,21,48
860,2310,"Insurance underwriters","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,22,48
910,2310,"Credit counselors and loan officers","Elementary and middle school teachers","Business and Financial Operations","Education, Training and Library",0,0,23,48
1010,1010,"Computer programmers","Computer programmers","Computer and Mathematics","Computer and Mathematics",1,1,24,24
1020,1020,"Software developers","Software developers","Computer and Mathematics","Computer and Mathematics",1,1,25,25
1020,1430,"Software developers","Industrian engineers","Computer and Mathematics","Architecture and Engineering",0,0,25,33
1030,1030,"Web developers","Web developers","Computer and Mathematics","Computer and Mathematics",1,1,26,26
1060,2310,"Database administrators","Elementary and middle school teachers","Computer and Mathematics","Education, Training and Library",0,0,27,48
