"OCCP_H","OCCP_W","Husband_Occ","Wife_Occ","PctWomen","pct_couples"
10,10,"Chief executives and legislators","Chief executives and legislators",0.00103413672576346,0.0815808556925308
10,2310,"Chief executives and legislators","Elementary and middle school teachers",0.0253788634874884,0.0812182741116751
10,430,"Chief executives and legislators","Miscellaneous managers",0.00200297156471719,0.0493110949963742
10,800,"Chief executives and legislators","Accountants and auditors",0.0113624487251977,0.0351704133430022
10,5700,"Chief executives and legislators","Secretaries and administrative assistants",0.0539558910698879,0.07070340826686
10,120,"Chief executives and legislators","Financial managers",0.00408657271681398,0.0199419869470631
10,4920,"Chief executives and legislators","Real estate agents",0.00164019566304319,0.0152284263959391
10,230,"Chief executives and legislators","Education administrators",0.00458049409247976,0.0170413343002176
10,4710,"Chief executives and legislators","Non-retail sales supervisors",0.00110345777492911,0.0119651921682379
10,50,"Chief executives and legislators","Marketing and sales managers",0.00373699540986498,0.0130529369108049
10,350,"Chief executives and legislators","Medical and health services managers",0.00360075854185243,0.0126903553299492
10,2100,"Chief executives and legislators","Lawyers and judges",0.00356668974581206,0.0119651921682379
10,630,"Chief executives and legislators","Human resources workers",0.00656204537869936,0.0148658448150834
10,710,"Chief executives and legislators","Management analysts",0.00378200044145788,0.0119651921682379
10,4700,"Chief executives and legislators","Retail sales supervisors",0.00814868142574731,0.0155910079767948
10,420,"Chief executives and legislators","Social and community service managers",0.00125225520398067,0.00797679477882524
10,5000,"Chief executives and legislators","Office and administrative support supervisors",0.0150922090533428,0.0210297316896302
10,3060,"Chief executives and legislators","Physicians and surgeons",0.00377873053820802,0.00942712110224801
10,5120,"Chief executives and legislators","Bookkeeping, accounting, and auditing clerks",0.0220129775089946,0.0268310369833212
10,735,"Chief executives and legislators","Market analysts",0.00461926708777304,0.00942712110224801
10,110,"Chief executives and legislators","Computer and information systems managers",0.00143988054296806,0.00616388687454677
10,136,"Chief executives and legislators","Human resources managers",0.00139609992175284,0.00580130529369108
10,2630,"Chief executives and legislators","Designers",0.0039999085686714,0.00797679477882524
10,150,"Chief executives and legislators","Purchasing managers",0.000504544566730528,0.00435097897026831
10,410,"Chief executives and legislators","Property, real estate, and community association managers",0.00137712722300174,0.00435097897026831
10,4850,"Chief executives and legislators","Wholesale sales representatives",0.00754615982912921,0.0105148658448151
10,850,"Chief executives and legislators","Personal financial advisors",0.00116162804913359,0.00398839738941262
10,4810,"Chief executives and legislators","Insurance sales agents",0.00306690025969817,0.00580130529369108
10,2200,"Chief executives and legislators","Postsecondary teachers",0.0110461850603908,0.0137781000725163
10,5940,"Chief executives and legislators","Miscellaneous office and administrative support workers",0.00287718009773596,0.00543872371283539
10,3050,"Chief executives and legislators","Pharmacists",0.00261392767812933,0.004713560551124
10,3230,"Chief executives and legislators","Speech-language pathologists",0.00201058484389062,0.00398839738941262
10,5140,"Chief executives and legislators","Payroll and timekeeping clerks",0.00230925534643298,0.00398839738941262
10,1020,"Chief executives and legislators","Software developers",0.00316128270738992,0.004713560551124
10,1006,"Chief executives and legislators","Computer systems analysts",0.00295325549280997,0.00435097897026831
10,5840,"Chief executives and legislators","Insurance claims and policy processing clerks",0.00314446222827393,0.00435097897026831
10,2145,"Chief executives and legislators","Paralegals and legal assistants",0.00360246601493328,0.004713560551124
10,4510,"Chief executives and legislators","Hairdressers",0.00508542818086978,0.00616388687454677
10,2000,"Chief executives and legislators","Counselors",0.00696481294637829,0.00797679477882524
10,3255,"Chief executives and legislators","Registered nurses",0.0380810326360358,0.0387962291515591
10,2320,"Chief executives and legislators","Secondary school teachers",0.00955310014021694,0.0097897026831037
10,4840,"Chief executives and legislators","Services sales representatives",0.00478610335640002,0.004713560551124
10,2010,"Chief executives and legislators","Social workers",0.0080506324173452,0.00688905003625816
10,20,"Chief executives and legislators","General and operations managers",0.00918437530739208,0.00797679477882524
10,2330,"Chief executives and legislators","Special education teachers",0.00657284836092435,0.00435097897026831
10,2300,"Chief executives and legislators","Preschool and kindergarten teachers",0.00793351282561727,0.00435097897026831
10,2540,"Chief executives and legislators","Teacher assistants",0.0174174689155588,0.0097897026831037
10,5400,"Chief executives and legislators","Receptionists and information clerks",0.0137155732698541,0.004713560551124
10,5240,"Chief executives and legislators","Customer service representatives",0.0262161493694411,0.0116026105873822
10,5860,"Chief executives and legislators","General office clerks",0.0375910531699237,0.0105148658448151
10,4760,"Chief executives and legislators","Retail salespersons",0.0353467239948646,0.00797679477882524
10,4720,"Chief executives and legislators","Cashiers",0.0393768585756063,0.00398839738941262
20,2310,"General and operations managers","Elementary and middle school teachers",0.0253788634874884,0.0785484611851171
20,430,"General and operations managers","Miscellaneous managers",0.00200297156471719,0.0349104271933854
